date,open,high,low,close,preclose,volume
2021/5/26,7029.799805,7050.899902,6998.200195,7026.899902,7026.899902,619965100
2021/5/27,7026.899902,7044,7008.5,7019.700195,7019.700195,1422973500
2021/5/28,7019.700195,7054.899902,7019.600098,7022.600098,7022.600098,786614400
2021/6/1,7022.600098,7118,7022.600098,7080.5,7080.5,726701500
2021/6/2,7080.5,7122.5,7074.100098,7108,7108,570341500
2021/6/3,7108,7108,7013.899902,7064.399902,7064.399902,617182900
2021/6/4,7064.399902,7071.799805,7039.700195,7069,7069,425216000
2021/6/7,7069,7098.299805,7042.200195,7077.200195,7077.200195,963131300
2021/6/8,7077.200195,7120.700195,7074.899902,7095.100098,7095.100098,550005100
2021/6/9,7095.100098,7095.700195,7046,7081,7081,575133700
2021/6/10,7081,7117.700195,7080,7088.200195,7088.200195,574917100
2021/6/11,7088.200195,7140.700195,7088.200195,7134.100098,7134.100098,509040600
2021/6/14,7134.100098,7188.299805,7131.799805,7146.700195,7146.700195,551244200
2021/6/15,7146.700195,7189.600098,7142.700195,7172.5,7172.5,779379400
2021/6/16,7172.5,7217.5,7169.200195,7185,7185,723106300
2021/6/17,7185,7185,7133,7153.399902,7153.399902,724679900
2021/6/18,7153.399902,7154.600098,7008.700195,7017.5,7017.5,1553511000
2021/6/21,7017.5,7065.100098,6948.600098,7062.299805,7062.299805,820495800
2021/6/22,7062.299805,7098.700195,7061.100098,7090,7090,522524500
2021/6/23,7090,7129.399902,7074.100098,7074.100098,7074.100098,567367400
2021/6/24,7074.100098,7119.399902,7070.899902,7110,7110,726332500
2021/6/25,7110,7139.100098,7109.799805,7136.100098,7136.100098,609038400
2021/6/28,7136.100098,7136.200195,7072,7073,7073,682531900
2021/6/29,7073,7120.799805,7071.899902,7087.600098,7087.600098,531015400
2021/6/30,7087.600098,7100.700195,7010.600098,7037.5,7037.5,659209600
2021/7/1,7037.5,7134.200195,7037.5,7125.200195,7125.200195,631273700
2021/7/2,7125.200195,7162.200195,7110.299805,7123.299805,7123.299805,520006400
2021/7/5,7123.299805,7168,7111.5,7164.899902,7164.899902,384449600
2021/7/6,7164.899902,7170.600098,7075.700195,7100.899902,7100.899902,635763200
2021/7/7,7100.899902,7153.700195,7100.899902,7151,7151,600040700
2021/7/8,7151,7151,6981.600098,7030.700195,7030.700195,741526200
2021/7/9,7030.700195,7121.899902,7030.200195,7121.899902,7121.899902,577541200
2021/7/12,7121.899902,7134.899902,7066.200195,7125.399902,7125.399902,484702100
2021/7/13,7125.399902,7152.399902,7116.299805,7124.700195,7124.700195,613836900
2021/7/14,7124.700195,7124.700195,7073.600098,7091.200195,7091.200195,565377200
2021/7/15,7091.200195,7111.799805,7005,7012,7012,612974400
2021/7/16,7012,7056.700195,6978.100098,7008.100098,7008.100098,617556700
2021/7/19,7008.100098,7008.100098,6813,6844.399902,6844.399902,817237100
2021/7/20,6844.399902,6929.899902,6827.299805,6881.100098,6881.100098,941993900
2021/7/21,6881.100098,7007.799805,6881.100098,6998.299805,6998.299805,784895600
2021/7/22,6998.299805,7019,6956.200195,6968.299805,6968.299805,497512000
2021/7/23,6968.299805,7033.299805,6968.299805,7027.600098,7027.600098,461681400
2021/7/26,7027.600098,7038.700195,6980.700195,7025.399902,7025.399902,524700700
2021/7/27,7025.399902,7028.399902,6929.600098,6996.100098,6996.100098,516983900
2021/7/28,6996.100098,7023.399902,6974.799805,7016.600098,7016.600098,595315800
2021/7/29,7016.600098,7093.899902,7008.700195,7078.399902,7078.399902,789496800
2021/7/30,7078.399902,7078.399902,6996.899902,7032.299805,7032.299805,674951500
2021/8/2,7032.299805,7111.700195,7032.299805,7081.700195,7081.700195,526271100
2021/8/3,7081.700195,7119.200195,7074.299805,7105.700195,7105.700195,613947100
2021/8/4,7105.700195,7142.5,7105.700195,7123.899902,7123.899902,618704700
2021/8/5,7123.899902,7130.399902,7099,7120.399902,7120.399902,814802900
2021/8/6,7120.399902,7135.399902,7103.700195,7123,7123,677358200
2021/8/9,7123,7138.799805,7089.700195,7132.299805,7132.299805,525136800
2021/8/10,7132.299805,7166.700195,7115.899902,7161,7161,559144000
2021/8/11,7161,7220.100098,7157.700195,7220.100098,7220.100098,536436100
2021/8/12,7220.100098,7220.700195,7182.899902,7193.200195,7193.200195,574940100
2021/8/13,7193.200195,7224.5,7193.100098,7218.700195,7218.700195,501180000
2021/8/16,7218.700195,7218.700195,7117.799805,7154,7154,522255500
2021/8/17,7154,7188.600098,7118.700195,7181.100098,7181.100098,573595700
2021/8/18,7181.100098,7198.799805,7143.600098,7169.299805,7169.299805,792002500
2021/8/19,7169.299805,7169.299805,6993.100098,7058.899902,7058.899902,602767800
2021/8/20,7058.899902,7095.600098,7032.5,7087.899902,7087.899902,549551400
2021/8/23,7087.899902,7147.799805,7087.899902,7109,7109,493195600
2021/8/24,7109,7129.700195,7076.100098,7125.799805,7125.799805,582751900
2021/8/25,7125.799805,7151.799805,7121.299805,7150.100098,7150.100098,510382500
